iter	Logloss
0	0.6911397403
1	0.6890937252
2	0.6871377604
3	0.6853690852
4	0.68371704
5	0.6821738549
6	0.6807588459
7	0.6794077946
8	0.6781305567
9	0.6768695611
10	0.6758354914
11	0.6747250462
12	0.6737403445
13	0.6726860348
14	0.6717971782
15	0.670978259
16	0.6702797638
17	0.6695279404
18	0.6689252138
19	0.6683581015
20	0.6677004366
21	0.667068039
22	0.6664711586
23	0.6659770449
24	0.6654080795
25	0.66495715
26	0.6645522231
27	0.6642086078
28	0.6637728587
29	0.6633558338
30	0.662936415
31	0.6625818972
32	0.662298293
33	0.661915209
34	0.6615654932
35	0.6612488106
36	0.6608360821
37	0.6605827882
38	0.6603042448
39	0.6600371109
40	0.6597697836
41	0.6594973945
42	0.6593299684
43	0.6590716097
44	0.6588755915
45	0.6587114692
46	0.6584711211
47	0.6582687893
48	0.6580228709
49	0.657877482
50	0.657694126
51	0.6574312558
52	0.6572780809
53	0.6571623163
54	0.6569827539
55	0.6567556153
56	0.6565831622
57	0.6564362087
58	0.6563398559
59	0.6562228172
60	0.6561257453
61	0.6560197034
62	0.6558509565
63	0.6556607482
64	0.6555341555
65	0.6554053584
66	0.6553004587
67	0.6552389634
68	0.6550856935
69	0.6549897344
70	0.654867531
71	0.6547925786
72	0.654760194
73	0.6546038726
74	0.6544505278
75	0.6543533514
76	0.6543160542
77	0.654204149
78	0.6540506213
79	0.6539568132
80	0.6539217888
81	0.6538012654
82	0.6537204735
83	0.6536143262
84	0.6535635953
85	0.6535050961
86	0.6534161837
87	0.6533249092
88	0.6532482528
89	0.6531133202
90	0.6530536972
91	0.6530204641
92	0.6529455424
93	0.6528843176
94	0.6527928793
95	0.6527178099
96	0.6526721747
97	0.6526138014
98	0.6525168886
99	0.6524253381
100	0.6522954371
101	0.6522349223
102	0.6521357707
103	0.6520745621
104	0.6520019349
105	0.6519622588
106	0.6518928315
107	0.6518386494
108	0.6517383478
109	0.6516874484
110	0.6516547136
111	0.6515729075
112	0.6515351169
113	0.6514832487
114	0.651451041
115	0.6513784582
116	0.6513287375
117	0.6512679302
118	0.6512141734
119	0.6510737337
120	0.6509700024
121	0.6509507252
122	0.6509101708
123	0.6508657202
124	0.6508105372
125	0.6507619172
126	0.6506914807
127	0.6505986374
128	0.6505591232
129	0.6505069807
130	0.6504666321
131	0.6504016955
132	0.6503244984
133	0.6502662944
134	0.6501851985
135	0.6501237647
136	0.6500352008
137	0.6499597397
138	0.649900553
139	0.6498333372
140	0.6497555994
141	0.6496815277
142	0.649639762
143	0.6496003407
144	0.6495557789
145	0.6495059326
146	0.6494259041
147	0.6493486248
148	0.6492890898
149	0.6491985035
150	0.6491379724
151	0.6490479747
152	0.6489808096
153	0.6489246758
154	0.6488399864
155	0.648784099
156	0.6487306559
157	0.6487009902
158	0.6486505438
159	0.6485944722
160	0.6485029427
161	0.6484285207
162	0.6483992034
163	0.6483800727
164	0.6483438159
165	0.6482506757
166	0.6481782489
167	0.648161451
168	0.6481023295
169	0.6480580998
170	0.6480015502
171	0.6479221055
172	0.6478672712
173	0.6478287628
174	0.6477754695
175	0.6477150996
176	0.6476769221
177	0.6476378008
178	0.6475396432
179	0.6475181086
180	0.6474206218
181	0.6473876073
182	0.6473370652
183	0.6472383297
184	0.6472085698
185	0.6471646558
186	0.6471463245
187	0.6470885403
188	0.6470400893
189	0.6469804692
190	0.6469120175
191	0.6468781808
192	0.6468242384
193	0.6467791785
194	0.6467141591
195	0.6466068767
196	0.6465918657
197	0.646495953
198	0.6464860921
199	0.6464511122
200	0.6464242646
201	0.6464035153
202	0.6463667924
203	0.6463327853
204	0.6462532966
205	0.6462190687
206	0.646163318
207	0.6461226673
208	0.6460809083
209	0.6460621401
210	0.6459825122
211	0.6459440987
212	0.6459120765
213	0.6458769504
214	0.6458241134
215	0.6457974358
216	0.6457353787
