iter	Passed	Remaining
662	39491	20073
663	39559	20017
664	39614	19955
665	39682	19900
666	39734	19837
667	39787	19774
668	39849	19716
669	39907	19655
670	39971	19598
671	40027	19537
672	40080	19474
673	40146	19417
674	40199	19355
675	40264	19298
676	40327	19240
677	40392	19183
678	40458	19126
679	40518	19067
680	40584	19010
681	40641	18950
682	40706	18893
683	40772	18836
684	40826	18774
685	40882	18712
686	40939	18652
687	41000	18593
688	41059	18533
689	41126	18476
690	41182	18416
691	41247	18358
692	41309	18299
693	41376	18243
694	41439	18185
695	41509	18130
696	41568	18070
697	41636	18014
698	41689	17952
699	41753	17894
700	41811	17834
701	41882	17778
702	41946	17721
703	42004	17660
704	42061	17600
705	42123	17541
706	42188	17484
707	42242	17421
708	42288	17356
709	42352	17299
710	42407	17237
711	42461	17175
712	42518	17114
713	42583	17057
714	42644	16998
715	42701	16937
716	42767	16880
717	42839	16825
718	42893	16763
719	42961	16707
720	43028	16650
721	43087	16590
722	43147	16531
723	43209	16472
724	43274	16414
725	43330	16353
726	43386	16292
727	43442	16231
728	43499	16170
729	43563	16112
730	43619	16051
731	43679	15991
732	43744	15934
733	43799	15872
734	43859	15813
735	43921	15754
736	43979	15694
737	44036	15633
738	44097	15574
739	44161	15516
740	44225	15457
741	44278	15395
742	44338	15336
743	44400	15277
744	44460	15217
745	44525	15160
746	44583	15099
747	44638	15038
748	44691	14976
749	44752	14917
750	44814	14858
751	44878	14800
752	44940	14741
753	44998	14681
754	45055	14620
755	45107	14558
756	45171	14500
757	45253	14447
758	45307	14386
759	45366	14326
760	45425	14266
761	45479	14205
762	45546	14147
763	45602	14086
764	45666	14028
765	45727	13968
766	45779	13906
767	45841	13847
768	45893	13785
769	45955	13726
770	46025	13670
771	46080	13609
772	46146	13551
773	46203	13490
774	46267	13432
775	46331	13373
776	46385	13312
777	46445	13252
778	46508	13194
779	46557	13131
780	46619	13072
781	46679	13012
782	46746	12955
783	46802	12894
784	46872	12837
785	46936	12779
786	46996	12719
787	47060	12660
788	47122	12601
789	47180	12541
790	47242	12482
791	47307	12424
792	47364	12363
793	47428	12305
794	47496	12247
795	47555	12187
796	47612	12127
797	47671	12067
798	47738	12009
799	47802	11950
800	47856	11889
801	47920	11830
802	47991	11773
803	48047	11713
804	48113	11654
805	48173	11595
806	48240	11537
807	48312	11480
808	48372	11420
809	48440	11362
810	48501	11303
811	48570	11245
812	48637	11187
813	48703	11128
814	48768	11070
815	48831	11010
816	48889	10950
817	48944	10889
818	49006	10830
819	49065	10770
820	49123	10710
821	49182	10650
822	49234	10588
823	49295	10529
824	49352	10468
825	49415	10409
826	49479	10350
827	49542	10291
828	49606	10232
829	49655	10170
830	49716	10110
831	49786	10053
832	49859	9995
833	49921	9936
834	49987	9877
835	50041	9816
836	50102	9757
837	50161	9697
838	50219	9636
839	50294	9579
840	50357	9520
841	50421	9461
842	50484	9402
843	50543	9342
844	50599	9281
845	50658	9221
846	50724	9162
847	50784	9102
848	50839	9042
849	50897	8981
850	50960	8922
851	51012	8861
852	51069	8801
853	51124	8740
854	51184	8680
855	51235	8619
856	51294	8559
857	51353	8498
858	51413	8439
859	51473	8379
860	51536	8319
861	51602	8261
862	51668	8202
863	51733	8143
864	51790	8082
865	51850	8023
866	51920	7964
867	51979	7904
868	52034	7844
869	52097	7784
870	52158	7724
871	52220	7665
872	52286	7606
873	52349	7547
874	52410	7487
875	52472	7427
876	52530	7367
877	52583	7306
878	52629	7244
879	52692	7185
880	52748	7124
881	52811	7065
882	52878	7006
883	52934	6946
884	52997	6886
885	53052	6826
886	53122	6767
887	53174	6706
888	53227	6645
889	53294	6586
890	53352	6526
891	53411	6466
892	53471	6407
893	53530	6346
894	53595	6287
895	53650	6227
896	53711	6167
897	53769	6107
898	53821	6046
899	53884	5987
900	53938	5926
901	54000	5867
902	54054	5806
903	54111	5746
904	54169	5686
905	54236	5627
906	54304	5568
907	54368	5508
908	54434	5449
909	54483	5388
910	54543	5328
911	54605	5268
912	54663	5208
913	54717	5148
914	54782	5089
915	54843	5029
916	54900	4969
917	54951	4908
918	55010	4848
919	55081	4789
920	55155	4731
921	55219	4671
922	55286	4612
923	55344	4552
924	55413	4492
925	55478	4433
926	55530	4372
927	55585	4312
928	55645	4252
929	55705	4192
930	55769	4133
931	55830	4073
932	55892	4013
933	55953	3953
934	56007	3893
935	56063	3833
936	56121	3773
937	56181	3713
938	56238	3653
939	56299	3593
940	56359	3533
941	56424	3474
942	56484	3414
943	56542	3354
944	56606	3294
945	56671	3234
946	56738	3175
947	56806	3115
948	56863	3055
949	56923	2995
950	56975	2935
951	57041	2876
952	57101	2816
953	57167	2756
954	57228	2696
955	57284	2636
956	57350	2576
957	57418	2517
958	57495	2458
959	57562	2398
960	57616	2338
961	57684	2278
962	57748	2218
963	57802	2158
964	57865	2098
965	57939	2039
966	58003	1979
967	58075	1919
968	58134	1859
969	58204	1800
970	58266	1740
971	58343	1680
972	58421	1621
973	58507	1561
974	58578	1502
975	58644	1442
976	58711	1382
977	58786	1322
978	58867	1262
979	58925	1202
980	58988	1142
981	59075	1082
982	59160	1023
983	59254	963
984	59327	903
985	59392	843
986	59465	783
987	59535	723
988	59601	662
989	59675	602
990	59762	542
991	59838	482
992	59917	422
993	60020	362
994	60102	302
995	60173	241
996	60252	181
997	60320	120
998	60406	60
999	60493	0
